Time (s),White pixels,Mean Brightness
1.633000,0.000076,50.392157
1.831000,0.000381,50.392157
2.032000,0.000305,50.392157
2.232000,0.000610,50.392157
2.431000,0.000458,50.392157
2.632000,0.000153,50.392157
2.832000,0.000381,50.392157
3.032000,0.000305,50.392157
3.231000,0.000687,50.392157
3.432000,0.000305,50.392157
3.632000,0.000381,50.588235
3.831000,0.000610,50.392157
4.032000,0.000153,50.392157
4.231000,0.000610,50.392157
4.431000,0.000610,50.392157
4.631000,0.000839,50.392157
4.831000,0.000534,50.392157
5.031000,0.000610,50.392157
5.231000,0.000687,50.392157
5.431000,0.000763,50.392157
5.632000,0.000305,50.392157
5.831000,0.000610,50.392157
6.031000,0.000687,50.392157
6.231000,0.000610,50.392157
6.431000,0.000534,50.392157
6.631000,0.000763,50.392157
6.832000,0.000381,50.392157
7.032000,0.000458,50.392157
7.231000,0.000381,50.392157
7.432000,0.000763,50.392157
7.631000,0.000534,50.392157
7.831000,0.000534,50.392157
8.031000,0.000381,50.392157
8.231000,0.000458,50.392157
8.431000,0.000534,50.392157
8.631000,0.000381,50.392157
8.832000,0.000763,50.392157
9.031000,0.000534,50.392157
9.231000,0.000534,50.392157
9.431000,0.000000,40.980392
9.632000,0.000000,36.470588
9.832000,0.091324,51.176471
10.031000,0.153275,50.588235
10.231000,0.412140,50.196078
10.432000,1.010666,50.000000
10.631000,1.225052,50.588235
10.831000,0.000000,49.215686
11.031000,0.000000,17.058824
11.231000,0.432968,51.764706
11.431000,9.578171,53.725490
11.632000,24.983902,58.039216
11.831000,17.368851,54.705882
12.031000,12.629089,55.098039
12.231000,8.780594,55.098039
12.431000,5.448761,55.294118
12.631000,4.476166,57.450980
12.832000,3.549118,53.725490
13.031000,4.433823,53.725490
13.231000,1.926041,58.823529
13.432000,2.630005,58.627451
13.631000,2.945328,60.588235
13.832000,4.383087,56.274510
14.031000,5.213470,61.568627
14.231000,3.369522,62.745098
14.431000,5.510788,62.156863
14.631000,6.398087,62.156863
14.832000,2.224731,60.000000
15.031000,3.231125,53.921569
15.232000,6.800308,54.117647
15.432000,4.824448,52.941176
15.631000,4.044724,52.941176
15.831000,2.092438,54.117647
