Time (s),White pixels,Mean Brightness
1.736000,0.198593,50.196078
2.234000,0.175247,50.196078
2.733000,0.184326,50.196078
3.233000,0.185776,50.196078
3.733000,0.198517,50.196078
4.233000,0.209122,50.196078
4.734000,0.206070,50.196078
5.234000,0.223465,50.196078
5.734000,0.224762,50.392157
6.233000,0.215836,50.196078
6.733000,0.213470,50.196078
7.234000,0.205002,50.196078
7.735000,0.210724,50.196078
8.234000,0.194016,50.196078
8.734000,0.192261,50.196078
9.235000,0.188751,50.196078
9.733000,0.174942,50.000000
10.234000,0.173645,50.196078
10.733000,0.187225,50.196078
11.233000,0.182495,50.196078
11.734000,0.194397,50.196078
12.233000,0.196381,50.196078
12.733000,0.199890,50.392157
13.234000,0.193405,50.196078
13.733000,0.209427,50.392157
14.234000,0.205765,50.196078
14.734000,0.203247,50.392157
15.234000,0.221939,50.196078
15.733000,0.221024,50.392157
16.233000,0.227051,50.196078
16.733000,0.226746,50.196078
17.233000,0.228729,50.196078
17.733000,0.223312,50.392157
18.235000,0.222397,50.196078
18.734000,0.225601,50.392157
19.235000,0.221481,50.392157
19.733000,0.219498,50.392157
20.234000,0.220795,50.196078
20.735000,0.222778,50.196078
21.233000,0.209961,50.392157
21.735000,0.222092,50.196078
22.233000,0.205536,50.196078
22.733000,0.212250,50.196078
23.234000,0.210419,50.196078
23.735000,0.223007,50.196078
24.234000,0.208969,50.196078
24.733000,0.204544,50.196078
25.234000,0.208664,50.392157
25.734000,0.202103,50.196078
26.233000,0.205154,50.196078
26.734000,0.206909,50.196078
27.233000,0.199890,50.196078
27.733000,0.195770,50.196078
28.233000,0.194168,50.196078
28.733000,0.193863,50.196078
29.234000,0.203171,50.196078
29.734000,0.205917,50.196078
30.234000,0.204620,50.196078
30.733000,0.190735,50.196078
31.234000,0.197983,50.392157
31.733000,0.194397,50.392157
32.233000,0.183487,50.196078
32.734000,0.195084,50.196078
33.234000,0.201035,50.392157
33.734000,0.197754,50.392157
34.233000,0.188828,50.196078
34.733000,0.192108,50.196078
35.234000,0.198135,50.196078
35.734000,0.200119,50.392157
36.235000,0.208282,50.196078
36.733000,0.197754,50.196078
37.234000,0.205231,50.392157
37.734000,0.201721,50.196078
38.233000,0.197906,50.196078
38.735000,0.221176,50.392157
39.234000,0.208969,50.392157
39.734000,0.204086,50.392157
40.233000,0.207901,50.196078
40.734000,0.214767,50.196078
41.234000,0.206528,50.196078
41.733000,0.204620,50.196078
42.234000,0.219421,50.196078
42.733000,0.211639,50.392157
43.233000,0.211182,50.392157
43.734000,0.210876,50.196078
44.233000,0.212936,50.196078
44.733000,0.209579,50.196078
45.233000,0.214005,50.196078
45.735000,0.223160,50.196078
46.233000,0.215683,50.392157
46.733000,0.215836,50.392157
47.235000,0.226898,50.196078
47.734000,0.219574,50.196078
48.233000,0.217438,50.196078
48.734000,0.218048,50.196078
49.233000,0.216980,50.196078
49.734000,0.226974,50.392157
50.233000,0.220718,50.392157
50.734000,0.220947,50.196078
51.235000,0.221329,50.196078
51.733000,0.209961,50.196078
52.234000,0.220718,50.196078
52.733000,0.214539,50.196078
53.235000,0.226746,50.392157
53.733000,0.212936,50.196078
54.234000,0.212173,50.196078
54.734000,0.215302,50.196078
55.234000,0.215683,50.196078
55.734000,0.216751,50.392157
